391,10312,391
391,10312,391
391,10252,391
391,2295,391
391,2421,391
465,1797,465
465,15477,465
465,10823,465
465,7158,9462
465,691,465
758,10914,758
758,9110,758
758,10914,758
758,9110,758
758,10914,758
851,925,851
851,1153,4218
851,4879,851
851,1486,851
851,15883,4218
1018,3487,1018
1018,14493,1018
1018,3544,1018
1018,11722,1018
1018,15596,1018
1326,11452,1326
1326,5314,1326
1326,11452,1326
1326,11452,1326
1326,5314,1326
1524,4580,1524
1524,8642,1524
1524,8642,1524
1524,14698,1524
1524,8642,1524
1610,15993,1610
1610,14817,1610
1610,1182,1610
1610,15993,1610
1610,1182,1610
1677,3382,1677
1677,15149,1677
1677,7652,1677
1677,16302,1677
1677,13715,1677
1961,7240,1961
1961,4105,6513
1961,11492,1961
1961,5453,1961
1961,9062,1961
2372,4439,4902
2372,9826,4902
2372,6519,4902
2372,5794,2372
2372,6490,2372
2635,11810,2635
2635,11810,2635
2635,12069,2635
2635,8161,2635
2635,8161,2635
2786,1122,2786
2786,9917,2786
2786,9917,2786
2786,1122,2786
2786,10065,2786
3109,15919,3109
3109,10653,3109
3109,7626,3109
3109,7626,3109
3109,15438,3109
3583,13443,3583
3583,96,11876
3583,506,3583
3583,506,3583
3583,7248,11876
4158,13856,4158
4158,12573,4158
4158,12573,4158
4158,9998,4158
4158,9998,4158
4218,8675,4218
4218,15883,4218
4218,2544,4616
4218,11602,4218
4218,2544,851
4616,2540,4616
4616,2540,4616
4616,2902,4218
4616,1058,4616
4616,4951,4616
4663,13530,4663
4663,16459,4663
4663,10999,4663
4663,3458,4663
4663,2163,4663
4756,8456,4756
4756,12909,4756
4756,739,4756
4756,739,4756
4756,8130,4756
4902,15289,2372
4902,10971,2372
4902,5987,4902
4902,16419,4902
4902,7175,4902
4962,7890,4962
4962,12408,4962
4962,7980,4962
4962,12627,4962
4962,7890,4962
5639,11574,5639
5639,13335,5639
5639,13335,5639
5639,2925,9771
5639,13335,5639
5714,2912,6513
5714,697,5714
5714,13501,5714
5714,2912,5813
5714,11679,5714
5719,11428,5719
5719,5623,5719
5719,5657,5719
5719,7925,5719
5719,5841,5719
5813,9010,5813
5813,14499,5813
5813,2912,5714
5813,1401,5714
5813,15701,5813
5931,12778,5931
5931,11289,5931
5931,14345,5931
5931,15591,5931
5931,12536,5931
6258,6215,6258
6258,4706,6258
6258,5978,6258
6258,7650,6258
6258,10386,6258
6307,3356,8911
6307,7719,6307
6307,11758,8911
6307,1516,8911
6307,6045,6307
6513,14304,6513
6513,2912,5813
6513,4105,1961
6513,16294,5813
6513,12716,6513
6694,1382,6694
6694,10236,6694
6694,10236,6694
6694,5955,6694
6694,5955,6694
6784,1606,6784
6784,3513,6784
6784,1606,6784
6784,4815,6784
6784,3513,6784
7116,2577,7116
7116,3453,7116
7116,8004,7116
7116,2577,7116
7116,11529,7116
7296,11791,7296
7296,1267,7296
7296,16242,7296
7296,1267,7296
7296,16242,9079
7606,12233,7606
7606,13381,13800
7606,11471,7606
7606,12233,7606
7606,6765,13800
7728,354,7728
7728,13680,7728
7728,13680,7728
7728,13680,7728
7728,12564,7728
7885,9151,7885
7885,12622,9771
7885,13859,7885
7885,3956,9771
7885,8846,7885
8429,8605,8429
8429,8605,8429
8429,3584,8429
8429,13237,8429
8429,3584,8429
8650,6570,8650
8650,7822,8650
8650,13094,8650
8650,13109,8650
8650,514,8650
8667,5056,8667
8667,13219,8667
8667,5655,8667
8667,5655,8667
8667,8176,8667
8685,654,8685
8685,10610,8685
8685,10936,8685
8685,1325,8685
8685,9122,8685
8911,7571,8911
8911,16409,8911
8911,957,8911
8911,4854,8911
8911,8837,6307
9040,7270,9040
9040,11520,9040
9040,5474,9040
9040,10143,9040
9040,1775,9040
9079,2623,9079
9079,7309,9079
9079,8476,9079
9079,2623,9079
9079,6186,9079
9462,3688,465
9462,9029,465
9462,3688,9462
9462,6368,465
9462,6390,9462
9771,3271,9771
9771,11236,9771
9771,7002,9771
9771,13859,9771
9771,507,9771
10358,15104,10358
10358,7009,10358
10358,8937,10358
10358,103,10358
10358,15678,10358
10404,3061,10404
10404,3061,10404
10404,10211,10404
10404,3061,10404
10404,3061,10404
11046,2940,11046
11046,2940,11046
11046,14694,11046
11046,2940,11046
11046,2940,11046
11087,16372,11087
11087,221,11087
11087,8901,11087
11087,2301,11087
11087,8754,11087
11592,1264,11592
11592,3909,11592
11592,10766,11592
11592,3909,11592
11592,3909,11592
11876,7795,11876
11876,7075,11876
11876,799,11876
11876,1949,11876
11876,13443,11876
12392,9657,12392
12392,12328,12392
12392,12328,12392
12392,5576,12392
12392,5576,12392
12733,2826,12733
12733,2551,12733
12733,2551,12733
12733,4586,12733
12733,2826,12733
12997,11691,12997
12997,12642,15237
12997,13961,12997
12997,11691,12997
12997,11691,12997
13755,9963,13755
13755,9963,13755
13755,3574,13755
13755,9963,13755
13755,10832,13755
13800,6765,13800
13800,2817,13800
13800,7787,7606
13800,6857,13800
13800,6765,7606
14928,320,14928
14928,320,14928
14928,320,14928
14928,320,14928
14928,320,14928
14960,12434,14960
14960,11011,14960
14960,11011,14960
14960,13057,14960
14960,5990,14960
15237,4897,15237
15237,2261,15237
15237,11934,15237
15237,8043,15237
15237,6822,15237
